topic,word,score
0,attacking,0.000134309
0,arm,0.000133563
0,managing,0.000133563
0,showed,0.000133563
0,jack,0.000132818
0,knights,0.000132818
0,graham,0.000132818
0,real,0.000132072
0,ottawa,0.000132072
0,retire,0.000132072
0,82,0.000131326
0,rapids,0.000131326
0,midseason,0.000131326
0,perth,0.000131326
0,newly,0.000131326
0,tests,0.000131326
0,oneyear,0.000131326
0,thunder,0.000131326
0,andy,0.000131326
0,parts,0.000131326
0,storm,0.000131326
0,designated,0.000131326
0,53,0.00013058
0,ahead,0.00013058
0,anaheim,0.00013058
0,scholarship,0.000129835
0,argentina,0.000129835
0,lakers,0.000129835
0,arkansas,0.000129835
0,rick,0.000129835
0,shield,0.000129835
0,swindon,0.000129835
0,orlando,0.000129835
0,wafl,0.000129089
0,1990s,0.000129089
0,scotland,0.000129089
0,semifinal,0.000128343
0,tommy,0.000128343
0,prop,0.000127597
0,matt,0.000127597
0,185,0.000127597
0,debuted,0.000127597
0,losses,0.000126852
0,suspended,0.000126106
0,syracuse,0.000126106
0,shooting,0.000126106
0,wilson,0.000126106
0,walked,0.000126106
0,seasonhe,0.00012536
0,rams,0.00012536
0,call,0.00012536
0,300,0.00012536
0,preston,0.00012536
0,daniel,0.000124614
0,watford,0.000124614
0,outfield,0.000124614
0,harris,0.000124614
0,dick,0.000124614
0,attend,0.000124614
0,68,0.000124614
0,states,0.000124614
0,19992000,0.000124614
0,56,0.000123869
0,huddersfield,0.000123869
0,celtics,0.000123869
0,heineken,0.000123869
0,streak,0.000123869
0,attending,0.000123123
0,conclusion,0.000123123
0,footballers,0.000123123
0,official,0.000123123
0,199495,0.000122377
0,nation,0.000122377
0,departure,0.000121631
0,twotime,0.000121631
0,charlton,0.000121631
0,coventry,0.000121631
0,rose,0.000121631
0,slam,0.000121631
0,goalscorer,0.000121631
0,duties,0.000121631
0,eighth,0.000120886
0,mansfield,0.000120886
0,worcester,0.000120886
0,switched,0.000120886
0,defense,0.000120886
0,ucla,0.000120886
0,peter,0.000120886
0,jason,0.00012014
0,lasted,0.00012014
0,flyers,0.00012014
0,folded,0.000119394
0,69,0.000119394
0,johnny,0.000119394
0,49,0.000118648
0,whilst,0.000118648
0,pitchers,0.000118648
0,wore,0.000118648
0,vikings,0.000118648
0,fell,0.000118648
0,ducks,0.000118648
0,missouri,0.000117903
0,spend,0.000117903
0,bullpen,0.000117903
0,independent,0.000117903
0,stoke,0.000117903
0,wolves,0.000117903
0,packers,0.000117903
0,58,0.000117157
0,grey,0.000117157
0,craig,0.000117157
0,67,0.000117157
0,phil,0.000117157
0,anthony,0.000117157
0,pennsylvania,0.000117157
0,throws,0.000117157
0,indianapolis,0.000117157
0,bowling,0.000116411
0,1947,0.000116411
0,throwing,0.000116411
0,nationals,0.000116411
0,impact,0.000116411
0,breaking,0.000116411
0,thompson,0.000116411
0,clippers,0.000116411
0,tight,0.000115665
0,larry,0.000115665
0,achieved,0.000115665
0,replacing,0.00011492
0,positions,0.00011492
0,orleans,0.00011492
0,norwich,0.00011492
0,jeff,0.00011492
0,beating,0.00011492
0,bradford,0.00011492
0,tim,0.00011492
0,201314,0.00011492
0,highly,0.000114174
0,stints,0.000114174
0,result,0.000114174
0,55,0.000114174
0,offense,0.000114174
0,qualifying,0.000113428
0,tie,0.000113428
0,analyst,0.000113428
0,majority,0.000113428
0,interim,0.000113428
0,footscray,0.000113428
0,redskins,0.000112682
0,fitness,0.000112682
0,winnipeg,0.000112682
0,199394,0.000112682
0,undrafted,0.000112682
0,84,0.000112682
0,impressed,0.000112682
0,runnerup,0.000112682
0,productive,0.000111937
0,espn,0.000111937
0,perfect,0.000111937
0,grade,0.000111937
0,incident,0.000111937
0,assignment,0.000111937
0,shamrock,0.000111937
0,auburn,0.000111191
0,midway,0.000111191
0,steals,0.000111191
0,fitzroy,0.000111191
0,fai,0.000111191
0,sc,0.000111191
0,leinster,0.000111191
0,stade,0.000111191
0,careerhigh,0.000111191
0,4th,0.000111191
0,suffering,0.000111191
0,disposals,0.000111191
0,graduating,0.000111191
0,small,0.000110445
0,devil,0.000110445
0,drew,0.000110445
0,origin,0.000110445
0,slugging,0.000109699
0,75,0.000109699
0,1980s,0.000109699
0,roy,0.000109699
0,cork,0.000109699
0,excellent,0.000109699
0,opportunity,0.000109699
0,jacksonville,0.000108954
0,5th,0.000108954
0,kerry,0.000108954
0,longest,0.000108954
0,northampton,0.000108954
0,keith,0.000108954
0,purchased,0.000108954
0,199798,0.000108954
0,92,0.000108954
